rfq_id,buyer_ref,buyer_name,buyer_email,buyer_type,commodity,required_quantity,unit,target_price_inr_per_quintal,delivery_city,delivery_state,max_distance_km,quality_requirements,expires_at,status,notes,rfq_type
RFQ-MUS-B,DEMO-BUYER-F7722EBE,Western Oilseed Foods,procurement.westernoilseedfoods@demo-sih26033.org,Food Processor,Mustard,140,QUINTAL,8510,Ahmedabad,Gujarat,577,Bold Grain; moisture <8%; good oil content,2026-10-10,OPEN,Feasible competing Mustard RFQ; stronger price with higher logistics burden.,FPO_BULK
RFQ-MUS-C,DEMO-BUYER-6FF4C094,Deccan Mustard Distribution,procurement.deccanmustarddistributio@demo-sih26033.org,Distributor,Mustard,160,QUINTAL,7830,Mumbai,Maharashtra,977,Bold Grain; moisture <8%; good oil content,2026-10-12,OPEN,Feasible inter-state Mustard RFQ; test premium price against freight.,FPO_BULK
RFQ-MUS-D,DEMO-BUYER-ACBA1BA8,National Mustard Wholesale,procurement.nationalmustardwholesale@demo-sih26033.org,Institutional Wholesaler,Mustard,270,QUINTAL,8280,Hyderabad,Telangana,1573,Bold Grain; moisture <8%; good oil content,2026-10-02,OPEN,Stress Mustard RFQ; attractive target price but quantity exceeds current FPO capacity.,FPO_BULK
RFQ-SOY-A,DEMO-BUYER-F4320464,FreshSoy Retail,procurement.freshsoyretail@demo-sih26033.org,Retail Chain,Soybean,140,QUINTAL,6290,Mumbai,Maharashtra,293,Yellow Bold; moisture <12%; foreign matter <2%,2026-10-04,OPEN,Feasible Soybean RFQ; lower-logistics benchmark.,FPO_BULK
RFQ-SOY-B,DEMO-BUYER-FDCB0AB2,Western Soy Foods,procurement.westernsoyfoods@demo-sih26033.org,Food Processor,Soybean,190,QUINTAL,6000,Ahmedabad,Gujarat,835,Yellow Bold; moisture <12%; foreign matter <2%,2026-10-06,OPEN,Feasible competing Soybean RFQ; stronger price with higher logistics burden.,FPO_BULK
RFQ-SOY-C,DEMO-BUYER-A1C1B880,Deccan Soy Distribution,procurement.deccansoydistribution@demo-sih26033.org,Distributor,Soybean,220,QUINTAL,6520,Hyderabad,Telangana,991,Yellow Bold; moisture <12%; foreign matter <2%,2026-10-08,OPEN,Feasible inter-state Soybean RFQ; test premium price against freight.,FPO_BULK
RFQ-SOY-D,DEMO-BUYER-4BA3432B,National Soy Wholesale,procurement.nationalsoywholesale@demo-sih26033.org,Institutional Wholesaler,Soybean,380,QUINTAL,6170,Delhi,Delhi,923,Yellow Bold; moisture <12%; foreign matter <2%,2026-10-10,OPEN,Stress Soybean RFQ; attractive target price but quantity exceeds current FPO capacity.,FPO_BULK
RFQ-COT-A,DEMO-BUYER-2B2A0B36,AgriTextile Retail,procurement.agritextileretail@demo-sih26033.org,Retail Chain,Cotton,180,QUINTAL,8080,Mumbai,Maharashtra,293,Medium Staple; clean ginning-grade kapas; low trash,2026-10-12,OPEN,Feasible Cotton RFQ; lower-logistics benchmark.,FPO_BULK
RFQ-COT-B,DEMO-BUYER-05A40018,Western Cotton Processing,procurement.westerncottonprocessing@demo-sih26033.org,Food Processor,Cotton,240,QUINTAL,8550,Ahmedabad,Gujarat,835,Medium Staple; clean ginning-grade kapas; low trash,2026-10-02,OPEN,Feasible competing Cotton RFQ; stronger price with higher logistics burden.,FPO_BULK
RFQ-COT-C,DEMO-BUYER-E03928F4,Deccan Cotton Distribution,procurement.deccancottondistribution@demo-sih26033.org,Distributor,Cotton,290,QUINTAL,8320,Hyderabad,Telangana,991,Medium Staple; clean ginning-grade kapas; low trash,2026-10-04,OPEN,Feasible inter-state Cotton RFQ; test premium price against freight.,FPO_BULK
RFQ-COT-D,DEMO-BUYER-B29A83EF,National Cotton Procurement,procurement.nationalcottonprocuremen@demo-sih26033.org,Institutional Wholesaler,Cotton,480,QUINTAL,7930,Delhi,Delhi,923,Medium Staple; clean ginning-grade kapas; low trash,2026-10-06,OPEN,Stress Cotton RFQ; attractive target price but quantity exceeds current FPO capacity.,FPO_BULK
RFQ-TUR-A,DEMO-BUYER-08143EC1,SpiceMart Retail,procurement.spicemartretail@demo-sih26033.org,Retail Chain,Turmeric,70,QUINTAL,16770,Mumbai,Maharashtra,293,High Curcumin (~5%); clean fingers; low foreign matter,2026-10-08,OPEN,Feasible Turmeric RFQ; lower-logistics benchmark.,FPO_BULK
RFQ-TUR-B,DEMO-BUYER-304B9225,Western Spice Foods,procurement.westernspicefoods@demo-sih26033.org,Food Processor,Turmeric,90,QUINTAL,15720,Ahmedabad,Gujarat,835,High Curcumin (~5%); clean fingers; low foreign matter,2026-10-10,OPEN,Feasible competing Turmeric RFQ; stronger price with higher logistics burden.,FPO_BULK
RFQ-TUR-C,DEMO-BUYER-D21F5AE4,Deccan Spice Distribution,procurement.deccanspicedistribution@demo-sih26033.org,Distributor,Turmeric,110,QUINTAL,16320,Hyderabad,Telangana,991,High Curcumin (~5%); clean fingers; low foreign matter,2026-10-12,OPEN,Feasible inter-state Turmeric RFQ; test premium price against freight.,FPO_BULK
RFQ-TUR-D,DEMO-BUYER-7A2146AC,National Turmeric Wholesale,procurement.nationalturmericwholesal@demo-sih26033.org,Institutional Wholesaler,Turmeric,180,QUINTAL,15420,Delhi,Delhi,923,High Curcumin (~5%); clean fingers; low foreign matter,2026-10-02,OPEN,Stress Turmeric RFQ; attractive target price but quantity exceeds current FPO capacity.,FPO_BULK
